"Hạng mục","Số dư còn","Tổng nhận","Chi phí chạy ADS ","Phí quản lý","Tổng chi phí","DATA","","","","","","","","","","","","CHI PHÍ SỐ LIỆU","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15/03/2026","","","1.487.873 đ","74.394 đ","1.562.267 đ","2","0","0","0","0","0","0","0","0","0 đ","1","8","195.283 đ","781.133 đ","25,00%","","0,00%","","","0,00%","","","","","","","","","","","","","","","","","","","","","",""
"16/03/2026","","5.000.000 đ","1.487.125 đ","74.356 đ","1.561.481 đ","2","0","0","1","0","0","0","0","0","0 đ","1","7","223.069 đ","780.741 đ","28,57%","1.561.481 đ","50,00%","","0,00%","0,00%","","","","","","","","","","","","","","","","","","","","","",""
"17/03/2026","","","1.575.264 đ","78.763 đ","1.654.027 đ","0","3","0","0","4","0","1","0","0","1.100.000 đ","1","4","413.507 đ","551.342 đ","75,00%","413.507 đ","133,33%","1.654.027 đ","25,00%","66,50%","","","","","","","","","","","","","","","","","","","","","",""
"18/03/2026","","","1.551.468 đ","77.573 đ","1.629.041 đ","2","2","0","0","3","0","0","0","0","0 đ","3","9","181.005 đ","407.260 đ","44,44%","543.014 đ","75,00%","","0,00%","0,00%","","","","","","","","","","","","","","","","","","","","","",""
"19/03/2026","","5.000.000 đ","2.336.744 đ","116.837 đ","2.453.582 đ","1","5","0","1","3","0","0","2","0","33.099.000 đ","1","16","153.349 đ","408.930 đ","37,50%","613.395 đ","66,67%","","0,00%","1349,01%","","","","","","","","","","","","","","","","","","","","","",""
"20/03/2026","","","1.573.890 đ","78.694 đ","1.652.584 đ","1","4","0","0","3","0","1","1","0","7.500.000 đ","0","11","150.235 đ","330.517 đ","45,45%","550.861 đ","60,00%","1.652.584 đ","33,33%","453,83%","","","","","","","","","","","","","","","","","","","","","",""
"21/03/2026","","5.000.000 đ","1.395.854 đ","69.793 đ","1.465.646 đ","1","3","0","0","1","0","0","0","0","0 đ","1","9","162.850 đ","366.412 đ","44,44%","1.465.646 đ","25,00%","","0,00%","0,00%","","","","","","","","","","","","","","","","","","","","","",""
"22/03/2026","","","2.324.466 đ","116.223 đ","2.440.689 đ","3","0","0","2","0","0","0","1","0","26.000.000 đ","1","15","162.713 đ","813.563 đ","20,00%","1.220.345 đ","66,67%","","0,00%","1065,27%","","","","","","","","","","","","","","","","","","","","","",""
"23/03/2026","","","1.900.358 đ","95.018 đ","1.995.376 đ","1","1","0","0","0","0","0","0","0","0 đ","1","6","332.563 đ","997.688 đ","33,33%","","0,00%","","","0,00%","","","","","","","","","","","","","","","","","","","","","",""
"24/03/2026","","5.000.000 đ","2.452.300 đ","122.615 đ","2.574.915 đ","1","1","0","3","0","0","1","1","0","3.650.000 đ","1","12","214.576 đ","1.287.458 đ","16,67%","858.305 đ","150,00%","2.574.915 đ","33,33%","141,75%","","","","","","","","","","","","","","","","","","","","","",""
"25/03/2026","","","1.921.110 đ","96.056 đ","2.017.166 đ","1","1","0","0","0","0","0","0","0","0 đ","0","10","201.717 đ","1.008.583 đ","20,00%","","0,00%","","","0,00%","","","","","","","","","","","","","","","","","","","","","",""
"26/03/2026","","","2.042.183 đ","102.109 đ","2.144.292 đ","1","0","0","1","0","0","0","0","0","0 đ","0","6","357.382 đ","2.144.292 đ","16,67%","2.144.292 đ","100,00%","","0,00%","0,00%","","","","","","","","","","","","","","","","","","","","","",""
"27/03/2026","","","2.422.649 đ","121.132 đ","2.543.781 đ","2","2","0","1","1","0","1","0","0","1.600.000 đ","0","18","141.321 đ","635.945 đ","22,22%","1.271.891 đ","50,00%","2.543.781 đ","50,00%","62,90%","","","","","","","","","","","","","","","","","","","","","",""
"28/03/2026","","6.042.677 đ","911.035 đ","45.552 đ","956.587 đ","0","3","0","0","1","0","0","0","0","0 đ","2","5","191.317 đ","318.862 đ","60,00%","956.587 đ","33,33%","","0,00%","0,00%","","","","","","","","","","","","","","","","","","","","","",""
"29/03/2026","","","791.399 đ","39.570 đ","830.969 đ","0","2","0","0","0","0","0","0","0","0 đ","0","5","166.194 đ","415.485 đ","40,00%","","0,00%","","","0,00%","","","","","","","","","","","","","","","","","","","","","",""
"30/03/2026","","","0 đ","0 đ","0 đ","0","0","0","0","0","0","0","0","0","0 đ","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31/03/2026","","","0 đ","0 đ","0 đ","0","0","0","0","0","0","0","0","0","0 đ","0","1","0 đ","","0,00%","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1.527.345 đ","20.957.323 đ","18.504.741 đ","925.237 đ","19.429.978 đ","48","","","15","","","8","","","102.624.000 đ","14","155","125.355 đ","404.791 đ","30,97%","1.295.332 đ","31,25%","2.428.747 đ","53,33%","18,93%","","","","","","","","","","","","","","","","","","","","","",""
"01/04/2026","","957.323 đ","1.428.785 đ","71.439 đ","1.500.224 đ","0","1","0","0","0","0","0","2","0","30.802.000 đ","0","8","187.528 đ","1.500.224 đ","12,50%","","0,00%","750.112 đ","","2053,16%","","","","","","","","","","","","","","","","","","","","","",""
"02/04/2026","","5.000.000 đ","2.277.222 đ","113.861 đ","2.391.083 đ","1","2","0","0","1","0","0","0","0","0 đ","0","15","159.406 đ","797.028 đ","20,00%","2.391.083 đ","33,33%","","0,00%","0,00%","","","","","","","","","","","","","","","","","","","","","",""
"03/04/2026","","","1.884.533 đ","94.227 đ","1.978.760 đ","1","4","0","1","2","0","0","0","0","0 đ","0","15","131.917 đ","395.752 đ","33,33%","659.587 đ","60,00%","","0,00%","0,00%","","","","","","","","","","","","","","","","","","","","","",""
"04/04/2026","","5.000.000 đ","1.068.268 đ","53.413 đ","1.121.682 đ","0","3","0","0","2","0","0","0","0","0 đ","0","12","93.473 đ","373.894 đ","25,00%","560.841 đ","66,67%","","0,00%","0,00%","","","","","","","","","","","","","","","","","","","","","",""
